,Timestamp,"//*[@id=""homepage-wistia-video-hkj4dwpzau""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" wistia_embed "")][1]_RELOC",class namewistia_embed_SEL,"xpath//*[@id=""homepage-wistia-video-hkj4dwpzau""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" grid-row-5 "")]/li[2]_RELOC",xpath//html/body/header/div/div[2]/nav/ul[2]/li[5]/div/div/ul/li[2]_SEL,"//*[@name=""elqCookieWrite""]_RELOC",nameelqCookieWrite_SEL,idelqCookieWrite_SEL,"xpath//*[@id=""elqCookieWrite""]_SEL","//*[@data-hide-for-country=""au nz in sg""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]_RELOC",class namerow_SEL,"xpath//*[@id=""homepage-logos""]/div_SEL","//*[@data-show-for-country=""sg ph""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col "")][5]_RELOC",class namecol_SEL,"xpath//*[@id=""homepage-logos""]/div/div/div[5]_SEL","//*[@name=""rv_account""]_RELOC",namerv_account_SEL,idrv_account_SEL,"xpath//*[@id=""rv_account""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" grid-row-5 "")]/li[7]/a[1]/p[2]_RELOC",xpath//html/body/header/div/div[2]/nav/ul[2]/li[5]/div/div/ul/li[7]/a/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-items "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" has-dropdown "")][3]_RELOC",class namehas-dropdown_SEL,xpath//html/body/header/div/div[2]/nav/ul[2]/li[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" show-small-up "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" has-dropdown "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-item "")][2]_RELOC",class namelist-item_SEL,xpath//html/body/header/div/nav/ul/li[3]/ul/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" quote-side-by-side "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]_RELOC",class namecontainer_SEL,xpath//html/body/article/section[6]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-spinner-parent "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" h1-animated-row "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accent-3 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" spinner-container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" spinner-item "")][7]_RELOC",class namespinner-item_SEL,"xpath//*[@id=""homepage-heading-2""]/div/div[2]/span[2]/span/span[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-items "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" has-dropdown "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown-inner "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" grid-row-2 "")][1]/li[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" block-link "")][1]/p[2]_RELOC",xpath//html/body/header/div/div[2]/nav/ul[2]/li[2]/div/div/ul/li/a/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" quote-side-by-side "")]//*[@data-show-for-country=""in""]_RELOC",class namelocalized-content_SEL,xpath//html/body/article/section[6]/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" section-additional-promos "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]_RELOC",xpath//html/body/article/section[2]/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" article-list "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article-list-item "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" anchor "")][1]/span[1]_RELOC","xpath//*[@id=""homepage-article-list""]/div[2]/ul/li[3]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" promo-inner-2 "")]_RELOC",class nameactive_SEL,xpath//html/body/article/section[2]/div/div/div[3]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" language-menu "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-item "")][5]_RELOC",xpath//html/body/header/div/nav/ul[2]/li/div/ul/li[5]_SEL,"//h1[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accent-3 "")][1]_RELOC",class nameaccent_SEL,"xpath//*[@id=""homepage-heading-2""]/h1/span[3]_SEL","//*[@data-tab-content=""sales""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-small-7 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" image-lockup "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" image-lockup-image-1 "")][1]_RELOC",class nameimage-lockup-image-1_SEL,xpath//html/body/article/section[3]/div[2]/div[3]/div[2]/div/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-cta-generic "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]_RELOC",xpath//html/body/article/section[9]/div_SEL
0,20220204224715,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
1,20220205201607,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
2,20220206203607,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
3,20220207235823,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
4,20220208234816,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
5,20220209235500,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
6,20220210232534,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
7,20220211222632,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
8,20220212223532,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
9,20220213235135,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
10,20220214235550,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
11,20220215233605,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
12,20220216233314,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
13,20220217235340,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
14,20220218222504,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
